Id,Name,StockKeepingUnit,ProductCode,ProductClass,Description,DisplayUrl,Family,IsActive,State__c,Grade_Level__c,Category__c,Series__c,Pricing_Group__c,Coursewave_Code__c,CreatedDate,LastModifiedDate
01tam00000B0mXmAAJ,Test TLG Product,,1234,Simple,,,,true,,,English,,,,2026-02-06T15:25:41.000+0000,2026-03-16T03:59:51.000+0000
01tam00000BCGSUAA5,ACT Achievement English,ISBN: 641175500,64117-550-0,Simple,,,,true,Alaska,Grade 12,English,ACT Achievement,,,2026-02-18T12:32:13.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKW5AAP,Gearing Up for 2nd Grade Mathematics,ISBN: 641174985,64117-498-5,Simple,,,,true,Alaska,Grade 1,Math,Gearing Up,,,2026-02-18T13:56:18.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKW6AAP,Gearing Up for 3rd Grade English Language Arts,ISBN: 641175296,64117-529-6,Simple,,,,true,Alaska,Grade 2,English,Gearing Up,,,2026-02-18T13:56:18.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKXhAAP,Gearing Up for 8th Grade English Language Arts,ISBN: 641175340,64117-534-0,Simple,,,,true,Alaska,Grade 7,English,Gearing Up,,,2026-02-18T13:56:23.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKXiAAP,Gearing Up for 8th Grade Mathematics,ISBN: 641175258,64117-525-8,Simple,,,,true,Alaska,Grade 7,Math,Gearing Up,,,2026-02-18T13:56:26.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCBauAAH,Economics Foundations,ISBN: 641170185,64117-018-5,Simple,,,,true,Alaska,Grade 9,Social Studies,Foundations,,,2026-02-18T13:56:29.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCBatAAH,English I Foundations,ISBN: 628001440,62800-144-0,Simple,,,,true,Alaska,Grade 9,English,Foundations,,,2026-02-18T13:56:29.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKZJAA5,Foundations Kindergarten English Language Arts,ISBN: 641177054,64117-705-4,Simple,,,Hawaii,true,,,English,,,,2026-02-18T13:56:34.000+0000,2026-03-16T03:59:51.000+0000
01tam00000BCKZKAA5,Foundations Kindergarten Mathematics,ISBN: 641177146,64117-714-6,Simple,,,Tennessee,true,,,Math,,,,2026-02-18T13:56:36.000+0000,2026-03-16T03:59:51.000+0000
01tam00000BCKavAAH,ACT Achievement Mathematics,ISBN: 641175371,64117-537-1,Simple,,,,true,Alaska,Grade 12,Math,ACT Success,,,2026-02-18T13:56:38.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCKawAAH,ACT Achievement Reading,ISBN: 641175487,64117-548-7,Simple,,,,true,Alaska,Grade 12,Reading,ACT Achievement,,,2026-02-18T13:56:41.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKcXAAX,Middle School Physical Science Foundations,ISBN: 628009668,62800-966-8,Simple,,,,true,Alaska,Grade 6,Science,Foundations,,,2026-02-18T13:56:43.000+0000,2026-03-27T17:05:26.000+0000
01tam00000BCKeAAAX,Foundations Grade 2 Mathematics,ISBN: 641177160,64117-716-0,Simple,,,,true,Alaska,Grade 2,Math,Foundations,,,2026-02-18T13:56:47.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKe9AAH,Foundations Grade 2 English Language Arts,ISBN: 641177078,64117-707-8,Simple,,,,true,Alaska,Grade 2,English,Foundations,,,2026-02-18T13:56:47.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKhNAAX,ACT Achievement Science,ISBN: 641175517,64117-551-7,Simple,,,,true,Alaska,Grade 12,Science,ACT Achievement,,,2026-02-18T13:56:53.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKkbAAH,Basics Made Easy: Reading Review,ISBN: 635356632,63535-663-2,Simple,,,,true,Alaska,Grade 6,Reading,Basics Made Easy,,,2026-02-18T13:56:55.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKkcAAH,Basics Made Easy: Mathematics Review,ISBN: 635356571,63535-657-1,Simple,,,,true,Alaska,Grade 6,Math,Basics Made Easy,,,2026-02-18T13:56:55.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKmDAAX,Middle School Life Science Foundations,ISBN: 628009651,62800-965-1,Simple,,,,true,Alaska,Grade 6,Science,Foundations,,,2026-02-18T13:56:59.000+0000,2026-03-27T17:05:26.000+0000
01tam00000BCKnpAAH,Foundations Grade 1 Mathematics,ISBN: 641177153,64117-715-3,Simple,,,,true,Alaska,Grade 1,Math,Foundations,,,2026-02-18T13:57:03.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKpSAAX,Gearing Up for 5th Grade English Language Arts,ISBN: 641175319,64117-531-9,Simple,,,,true,Alaska,Grade 4,English,Gearing Up,,,2026-02-18T13:57:06.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKpRAAX,Gearing Up for 5th Grade Mathematics,ISBN: 641175227,64117-522-7,Simple,,,,true,Alaska,Grade 4,Math,Gearing Up,,,2026-02-18T13:57:06.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKr4AAH,Gearing Up for 1st Grade English Language Arts,ISBN: 641175272,64117-527-2,Simple,,,Michigan,true,,,English,,,,2026-02-18T13:57:10.000+0000,2026-03-16T03:59:51.000+0000
01tam00000BCKr3AAH,Gearing Up for 1st Grade Mathematics,ISBN: 641174978,64117-497-8,Simple,,,Wyoming,true,,,Math,,,,2026-02-18T13:57:10.000+0000,2026-03-16T03:59:51.000+0000
