Id,Product__c,Format_Name__c,Unit_Price__c,Bulk_Price__c,Bulk_Threshold__c,Min_Quantity__c,Max_Quantity__c,Increment_Quantity__c,Sort_Order__c,Is_Active__c,CreatedDate
a0NWj00000KZ1KXMA1,01tWj00000BN7VaIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:38.000+0000
a0NWj00000KZ1LKMA1,01tWj00000BN7VbIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:38.000+0000
a0NWj00000KZ1M7MAL,01tWj00000BN7VcIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:38.000+0000
a0NWj00000KZ1HNMA1,01tWj00000BN7VdIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:38.000+0000
a0NWj00000KZ1IAMA1,01tWj00000BN7VeIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:38.000+0000
a0NWj00000KZ1IxMAL,01tWj00000BN7VfIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:38.000+0000
a0NWj00000KYPqFMAX,01tWj00000BN7VgIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:42.000+0000
a0NWj00000KYPqDMAX,01tWj00000BN7VhIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:42.000+0000
a0NWj00000KYPqEMAX,01tWj00000BN7ViIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:42.000+0000
a0NWj00000KYPqJMAX,01tWj00000BN7VjIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:42.000+0000
a0NWj00000KYPqKMAX,01tWj00000BN7VjIAL,Color Print + Digital,47,31.5,25,10,10000,1,3,true,2026-03-27T17:57:42.000+0000
a0NWj00000KYPqLMAX,01tWj00000BN7VkIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:42.000+0000
a0NWj00000KYPqMMAX,01tWj00000BN7VkIAL,Color Print + Digital,47,31.5,25,10,10000,1,3,true,2026-03-27T17:57:42.000+0000
a0NWj00000KYPqNMAX,01tWj00000BN7VlIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:42.000+0000
a0NWj00000KYPqOMAX,01tWj00000BN7VlIAL,Color Print + Digital,47,31.5,25,10,10000,1,3,true,2026-03-27T17:57:42.000+0000
a0NWj00000KZ2PvMAL,01tWj00000BN7VmIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:41.000+0000
a0NWj00000KZ2PwMAL,01tWj00000BN7VmIAL,Color Print + Digital,47,31.5,25,10,10000,1,3,true,2026-03-27T17:57:41.000+0000
a0NWj00000KZ2PxMAL,01tWj00000BN7VnIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:41.000+0000
a0NWj00000KZ2PyMAL,01tWj00000BN7VnIAL,Color Print + Digital,47,31.5,25,10,10000,1,3,true,2026-03-27T17:57:41.000+0000
a0NWj00000KZ2Q1MAL,01tWj00000BN7VoIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:41.000+0000
a0NWj00000KZ2Q2MAL,01tWj00000BN7VoIAL,Color Print + Digital,47,31.5,25,10,10000,1,3,true,2026-03-27T17:57:41.000+0000
a0NWj00000KZ2Q3MAL,01tWj00000BN7VpIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:41.000+0000
a0NWj00000KYPqAMAX,01tWj00000BN7VpIAL,Color Print + Digital,47,31.5,25,10,10000,1,3,true,2026-03-27T17:57:42.000+0000
a0NWj00000KYPqBMAX,01tWj00000BN7VqIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:42.000+0000
a0NWj00000KYPqCMAX,01tWj00000BN7VqIAL,Color Print + Digital,47,31.5,25,10,10000,1,3,true,2026-03-27T17:57:42.000+0000
a0NWj00000KZ2SiMAL,01tWj00000BN7VtIAL,B&W Print + Digital,41,25.25,25,10,10000,1,2,true,2026-03-27T17:57:42.000+0000
a0NWj00000KZ2SjMAL,01tWj00000BN7VtIAL,Color Print + Digital,44,28.5,25,10,10000,1,3,true,2026-03-27T17:57:42.000+0000
a0NWj00000KZ2SCMA1,01tWj00000BN7VuIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:42.000+0000
a0NWj00000KZ2SDMA1,01tWj00000BN7VuIAL,Color Print + Digital,47,31.5,25,10,10000,1,3,true,2026-03-27T17:57:42.000+0000
a0NWj00000KZ2SWMA1,01tWj00000BN7VvIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:42.000+0000
a0NWj00000KZ2SXMA1,01tWj00000BN7VvIAL,Color Print + Digital,47,31.5,25,10,10000,1,3,true,2026-03-27T17:57:42.000+0000
a0NWj00000KZ2SYMA1,01tWj00000BN7VwIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:42.000+0000
a0NWj00000KZ2SZMA1,01tWj00000BN7VwIAL,Color Print + Digital,47,31.5,25,10,10000,1,3,true,2026-03-27T17:57:42.000+0000
a0NWj00000KZ2SaMAL,01tWj00000BN7VxIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:42.000+0000
a0NWj00000KZ2SbMAL,01tWj00000BN7VxIAL,Color Print + Digital,47,31.5,25,10,10000,1,3,true,2026-03-27T17:57:42.000+0000
a0NWj00000KYPqyMAH,01tWj00000BN7VyIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:42.000+0000
a0NWj00000KYPqzMAH,01tWj00000BN7VyIAL,Color Print + Digital,47,31.5,25,10,10000,1,3,true,2026-03-27T17:57:42.000+0000
a0NWj00000KYPr0MAH,01tWj00000BN7VzIAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:42.000+0000
a0NWj00000KYPr1MAH,01tWj00000BN7VzIAL,Color Print + Digital,47,31.5,25,10,10000,1,3,true,2026-03-27T17:57:42.000+0000
a0NWj00000KYPr2MAH,01tWj00000BN7W0IAL,B&W Print + Digital,44,28.25,25,10,10000,1,2,true,2026-03-27T17:57:42.000+0000
a0NWj00000KYPr3MAH,01tWj00000BN7W0IAL,Color Print + Digital,47,31.5,25,10,10000,1,3,true,2026-03-27T17:57:42.000+0000
