Product2.StockKeepingUnit,Pricebook2Id,UnitPrice,IsActive
"ISBN: 641189001",01sam000003vfHdAAI,35,true
"ISBN: 641176001",01sam000003vfHdAAI,41,true
"ISBN: 641177001",01sam000003vfHdAAI,38,true
"ISBN: 641178001",01sam000003vfHdAAI,29,true
"ISBN: 641179001",01sam000003vfHdAAI,44,true
"ISBN: 641189001",01sam0000041Az8AAE,35,true
"ISBN: 641176001",01sam0000041Az8AAE,41,true
"ISBN: 641177001",01sam0000041Az8AAE,38,true
"ISBN: 641178001",01sam0000041Az8AAE,29,true
"ISBN: 641179001",01sam0000041Az8AAE,44,true
"ISBN: 641189001",01sam0000041Az7AAE,20,true
"ISBN: 641176001",01sam0000041Az7AAE,25,true
"ISBN: 641177001",01sam0000041Az7AAE,22,true
"ISBN: 641178001",01sam0000041Az7AAE,18,true
"ISBN: 641179001",01sam0000041Az7AAE,28,true
